# #MJD, AbsGain, AbsGainErr
5.494658759259259386e+04, 5.013033895999999601e+00, 2.279819428010048527e-02
5.494758751157407096e+04, 4.989679382000002050e+00, 2.269523524173718693e-02
5.494858795138888672e+04, 4.932643139999996151e+00, 2.205303492118820125e-02
5.494958758101851708e+04, 4.963332113999999962e+00, 2.211099187551462258e-02
5.495058782407407125e+04, 4.958786780000004946e+00, 2.200087270934066724e-02
5.495358759259259386e+04, 5.562569735999998599e+00, 4.346594034984220534e-02
5.495458747685185517e+04, 4.987344340000003484e+00, 2.198429180644274200e-02
5.495558770833333256e+04, 5.092566069999999279e+00, 2.332572285943862456e-02
5.496458554398148408e+04, 4.921422008000001291e+00, 3.380261854490426709e-02
5.496558611111110804e+04, 5.063612745999996889e+00, 2.349841712680440786e-02
5.496758605324073869e+04, 5.180608915999997954e+00, 2.523655951181841620e-02
5.496858561342592293e+04, 4.952265008000003910e+00, 3.166985213501510160e-02
5.496958581018518453e+04, 5.031108918000008146e+00, 2.817790527352598967e-02
5.497058612268518482e+04, 4.943366449999997414e+00, 2.383538588827684851e-02
5.497458604166666919e+04, 4.935852402000002748e+00, 2.380269461234705078e-02
5.497558608796296176e+04, 4.992673684000000556e+00, 2.805507448653005859e-02
5.497658612268518482e+04, 4.855793762000006453e+00, 2.301180288234788013e-02
5.497758609953703854e+04, 4.850385494000001962e+00, 2.315309707489746419e-02
5.497858609953703854e+04, 5.059429720000005126e+00, 2.957386587048381477e-02
5.497958629629629286e+04, 4.831986925999997240e+00, 2.269841670995023653e-02
5.498058605324073869e+04, 5.079056675999995996e+00, 2.356008691470394892e-02
5.498158622685185401e+04, 4.923157325999996559e+00, 2.272773682166338849e-02
5.498258609953703854e+04, 4.972427122000000033e+00, 2.280317525342831150e-02
5.498358605324073869e+04, 5.086416839999997386e+00, 2.358767689140126370e-02
5.498458600694444613e+04, 5.339764777999995715e+00, 2.700855118361978127e-02
5.498558621527777723e+04, 5.230127830000000699e+00, 2.532027343606056344e-02
5.498658616898148466e+04, 5.282444819999996710e+00, 2.529807614358480297e-02
5.499458592592592322e+04, 5.150260448000000046e+00, 2.712271778495740915e-02
5.499558609953703854e+04, 5.142193894000002707e+00, 2.534128073346649315e-02
5.499758605324073869e+04, 5.090940687999995440e+00, 2.465005068339768193e-02
5.499858608796296176e+04, 5.151792689999992625e+00, 2.586373529813589672e-02
5.499958601851851563e+04, 5.156452510000004708e+00, 2.450507272598429279e-02
5.500058597222222306e+04, 5.223970525999996894e+00, 2.722976045788458310e-02
5.500158586805555387e+04, 5.081517614000000016e+00, 2.646967975835482975e-02
5.500258597222222306e+04, 5.186896491999998915e+00, 2.540125786571622094e-02
5.500358598379629984e+04, 5.020790885999997677e+00, 2.522678022529706993e-02
5.500458618055555417e+04, 5.109549531999998173e+00, 2.338021023187146150e-02
5.500558609953703854e+04, 5.070685516000001947e+00, 2.332959761603979956e-02
5.500658601851851563e+04, 5.096122920000002665e+00, 2.324599315597386875e-02
5.500758605324073869e+04, 5.229970646000000833e+00, 2.583882242797103795e-02
5.500858608796296176e+04, 5.319310068000000058e+00, 2.611659313189383311e-02
5.508858684027777781e+04, 4.917246660000002656e+00, 2.387836927911867260e-02
5.508958695601851650e+04, 4.899917740000000244e+00, 2.282697783308487716e-02
5.509058613425926160e+04, 1.927129997940000123e+02, 8.413983963906325414e+00
5.509158607638889225e+04, 5.026723827999998839e+00, 2.437165215117705064e-02
5.509258711805555504e+04, 1.941704241260000003e+02, 8.429949579863921016e+00
5.509358693287037022e+04, 6.349037251999996023e+00, 3.907070527485161093e-02
5.509458693287037022e+04, 6.322258668000002579e+00, 3.940902002467670806e-02
5.509558707175926247e+04, 6.281556750000002687e+00, 3.838113485224507737e-02
5.509658709490740875e+04, 6.606072222000005212e+00, 4.707420801694599255e-02
5.509758702546296263e+04, 6.521168037999995448e+00, 4.747371008275894089e-02
5.509858701388888585e+04, 6.437513785999996685e+00, 4.468241361634341102e-02
5.509958704861110891e+04, 4.221365555600003461e+01, 1.642632893555225237e+00
5.510058697916667006e+04, 7.309242500000005194e+00, 7.116280055230092549e-02
5.510158692129629344e+04, 7.083937215999998038e+00, 6.173918723981303841e-02
5.510258686342592409e+04, 6.265958379999996275e+00, 3.670942770026340563e-02
5.511458518518518395e+04, 6.724880327999999352e+00, 3.509375547587490485e-01
5.511558608796296176e+04, 6.778315194000001043e+00, 4.129156431534421190e-02
5.511658684027777781e+04, 6.612550700000000781e+00, 3.929103574115590941e-02
5.511758695601851650e+04, 4.937260712000001384e+00, 2.971627365304217250e+01
5.511858603009259241e+04, 6.685802700000003540e+00, 3.982481741007263404e-02
5.511958687500000087e+04, 6.586774680000003990e+00, 3.973274554747032589e-02
5.512058704861110891e+04, 6.912672790000003786e+00, 5.085830480946578608e-02
5.512158716435185488e+04, 2.540529903200000561e+01, 7.232231931758581478e-01
5.512258686342592409e+04, 2.468326193199997931e+01, 5.110983437704018639e-01
5.512358682870370103e+04, 3.681119641200001524e+01, 9.654042679578955788e-01
5.512458695601851650e+04, 3.023263509600002052e+01, 6.220628928584330808e-01
5.512558684027777781e+04, 2.820358890400000007e+01, 5.377586384311793255e-01
