#  FERMI ALL-SKY VARIABILITY ANALYSIS (FAVA) 
#  Ackermann et al (The Astrophysical Journal, 771:57 (12pp), 2013 July 1)
# Fava ID , RA (J2000.0) , Dec (J2000.0) , # HE Flares , # Neg. Flares , LAT Assoc. , Assoc. , Atel # ,
* V 14
J1719+18 , 17 19 31.1 , +18 01 11.9 , 2 , 0 , 2FGL_J1719.3+1744 , PKS_1717+177 , 0 ,
J1732-12 , 17 32 47.8 , -12 58 48.0 , 3 , 0 , 2FGL_J1733.1-1307 , PKS_1730-13 , 0 ,
J1735+39 , 17 35 57.4 , +39 07 11.9 , 4 , 0 , 2FGL_J1734.3+3858 , B2_1732+38A , 0 ,
J1740+27 , 17 40 00.0 , +27 17 23.9 , 1 , 0 , GRB090902B , none , 0 ,
J1741+50 , 17 41 16.6 , +50 06 35.8 , 1 , 0 , 2FGL_J1739.5+4955 , S4_1738+49 , 0 ,
J1743+52 , 17 43 11.8 , +52 06 00.0 , 2 , 0 , 2FGL_J1740.2+5212 , 4C_+51.37 , 0 ,
J1746+70 , 17 46 40.6 , +70 13 48.0 , 3 , 0 , 2FGL_J1748.8+7006 , S4_1749+70 , 3171 ,
J1752-32 , 17 51 59.8 , -32 58 11.9 , 1 , 0 , Fermi_J1750-3243 , Nova_Sco_2012 , 4284 ,
J1751+09 , 17 51 07.1 , +09 22 48.0 , 1 , 0 , 2FGL_J1751.5+0938 , OT_081 , 0 ,
J1753+32 , 17 53 26.4 , +32 32 59.9 , 2 , 0 , 2FGL_J1754.3+3212 , RX_J1754.1+3212 , 0 ,
J1759-48 , 17 59 40.6 , -48 49 47.9 , 1 , 0 , 2FGL_J1759.2-4819 , PMN_J1758-4820 , 0 ,
J1803-39 , 18 03 40.6 , -39 18 36.0 , 6 , 0 , 2FGL_J1802.6-3940 , PMN_J1802-3940 , 0 ,
J1807+78 , 18 07 50.2 , +78 33 36.0 , 5 , 0 , 2FGL_J1800.5+7829 , S5_1803+784 , 0 ,
J1827-52 , 18 27 55.2 , -52 19 47.9 , 1 , 0 , 2FGL_J1825.1-5231 , PKS_1821-525 , 0 ,
J1825+56 , 18 25 16.7 , +56 50 23.8 , 2 , 0 , 2FGL_J1824.0+5650 , 4C_+56.27 , 0 ,
J1834-21 , 18 34 31.0 , -21 03 35.9 , 10 , 0 , 2FGL_J1833.6-2104 , PKS_1830-211 , 0 ,
J1850+32 , 18 50 19.0 , +32 21 00.0 , 6 , 0 , 2FGL_J1848.5+3216 , B2_1846+32A , 0 ,
J1853+48 , 18 53 26.4 , +48 35 24.0 , 1 , 0 , 2FGL_J1852.5+4856 , S4_1851+48 , 0 ,
J1853+67 , 18 53 09.6 , +67 05 24.0 , 11 , 0 , 2FGL_J1849.4+6706 , S4_1849+67 , 0 ,
J1909-80 , 19 09 57.4 , -80 13 48.0 , 1 , 0 , none , none , 0 ,
J1910-20 , 19 10 14.3 , -20 03 00.0 , 0 , 0 , 2FGL_J1911.1-2005 , PKS_B1908-201 , 0 ,
J1914-35 , 19 14 19.0 , -35 57 36.0 , 1 , 0 , Fermi_J1913-3630 , PMN_J1913-3630 , 2966 ,
J1924-21 , 19 24 07.1 , -21 11 24.0 , 3 , 0 , 2FGL_J1923.5-2105 , TXS_1920-211 , 0 ,
J1956-38 , 19 56 16.7 , -38 21 35.9 , 1 , 0 , 2FGL_J1958.2-3848 , PKS_1954-388 , 0 ,
J1956-42 , 19 56 45.6 , -42 50 24.0 , 1 , 0 , 2FGL_J1959.1-4245 , PMN_J1959-4246 , 0 ,
J2001+44 , 20 01 02.2 , +44 11 23.9 , 1 , 0 , 2FGL_J2001.1+4352 , MAGIC_J2001+435 , 0 ,
J2012+37 , 20 12 52.8 , +37 11 23.9 , 1 , 0 , 2FGL_J2015.6+3709 , MG2_J201534+3710 , 0 ,
J2023+33 , 20 23 57.6 , +33 45 35.9 , 1 , 0 , 2FGL_J2025.1+3341 , B2_2023+33 , 0 ,
J2026-07 , 20 26 35.9 , -07 32 59.9 , 8 , 0 , 2FGL_J2025.6-0736 , PKS_2023-07 , 0 ,
J2034+40 , 20 34 21.4 , +40 55 47.9 , 0 , 0 , 2FGL_J2032.1+4049 , Cyg_X-3 , 0 ,
J2036+11 , 20 36 19.1 , +11 09 36.0 , 1 , 0 , 2FGL_J2035.4+1058 , PKS_2032+107 , 0 ,
J2056-47 , 20 56 38.4 , -47 20 59.8 , 4 , 0 , 2FGL_J2056.2-4715 , PKS_2052-47 , 0 ,
J2103+45 , 21 03 28.6 , +45 42 36.0 , 2 , 0 , 2FGL_J2102.2+4546 , V407_Cyg , 0 ,
J2122-46 , 21 22 00.0 , -46 01 48.0 , 0 , 0 , 2FGL_J2125.0-4632 , PKS_2123-463 , 3808 ,
J2134-01 , 21 34 04.6 , -01 57 35.9 , 1 , 0 , 2FGL_J2133.8-0154 , PKS_2131-021 , 4333 ,
J2144+17 , 21 44 16.6 , +17 43 11.9 , 0 , 0 , 2FGL_J2143.5+1743 , OX_169 , 0 ,
J2148-75 , 21 48 14.2 , -75 26 59.8 , 5 , 0 , 2FGL_J2147.4-7534 , PKS_2142-75 , 0 ,
J2155-83 , 21 55 24.0 , -83 57 35.9 , 1 , 0 , 2FGL_J2201.9-8335 , PKS_2155-83 , 0 ,
J2154-30 , 21 54 31.1 , -30 29 23.9 , 0 , 0 , 2FGL_J2151.5-3021 , PKS_2149-306 , 0 ,
J2159+31 , 21 59 35.9 , +31 27 36.0 , 1 , 0 , 2FGL_J2157.4+3129 , B2_2155+31 , 0 ,
J2202+42 , 22 02 14.3 , +42 13 47.9 , 8 , 1 , 2FGL_J2202.8+4216 , BL_Lacertae , 0 ,
J2202+50 , 22 02 28.8 , +50 46 12.0 , 4 , 0 , Fermi_J2202+5045 , NRAO_676 , 4182 ,
J2209-53 , 22 09 31.1 , -53 43 11.9 , 1 , 0 , 2FGL_J2208.1-5345 , PKS_2204-54 , 0 ,
J2214-26 , 22 14 23.8 , -26 39 36.0 , 1 , 0 , GRB090510 , none , 0 ,
J2229-07 , 22 29 31.0 , -07 52 12.0 , 0 , 0 , 2FGL_J2229.7-0832 , PKS_2227-08 , 0 ,
J2233+11 , 22 33 24.0 , +11 48 00.0 , 3 , 0 , 2FGL_J2232.4+1143 , CTA_102 , 0 ,
J2237-14 , 22 37 24.0 , -14 24 00.0 , 5 , 0 , 2FGL_J2236.5-1431 , PKS_2233-148 , 0 ,
J2238-39 , 22 38 59.8 , -39 21 35.9 , 1 , 0 , none , none , 0 ,
J2247-06 , 22 47 16.8 , -06 01 48.0 , 0 , 0 , none , none , 0 ,
J2252-27 , 22 52 04.6 , -27 49 12.0 , 3 , 0 , 2FGL_J2250.8-2808 , PMN_J2250-2806 , 0 ,
J2254+16 , 22 54 16.6 , +16 12 36.0 , 137 , 123 , 2FGL_J2253.9+1609 , 3C_454.3 , 0 ,
J2311+34 , 23 11 43.2 , +34 20 24.0 , 5 , 0 , 2FGL_J2311.0+3425 , B2_2308+34 , 0 ,
J2321+32 , 23 21 47.8 , +32 04 12.0 , 2 , 0 , 2FGL_J2322.2+3206 , B2_2319+31 , 0 ,
